address,ID,categories,city,latitude,longitude,name,postal_code,review_count,stars_business
719 Walnut St,h7TO_IsmLCYmKKDVOOIeFw,"Restaurants, Sushi Bars, Japanese",Philadelphia,39.9481318,-75.153395,Fat Salmon,19106,1089,4.5
127 S 18th St,Dv6RfXLYe1atjgz3Xf4GGw,"Burgers, Vegetarian, Restaurants, Vegan",Philadelphia,39.950774,-75.170397,HipCityVeg,19103,1082,4.0
3945 Chestnut St,kVTHnhgYUw-Pmr7wgDB4_g,"Mexican, Restaurants, Nightlife, Cocktail Bars, Bars",Philadelphia,39.9558813,-75.2020031,Distrito,19104,1077,3.5
131 S 13th St,of-GVqY0G_UDHXT9Xg_ADQ,"Bars, Nightlife, Kosher, Burgers, Tapas/Small Plates, American (Traditional), Vegan, Seafood, Cocktail Bars, Restaurants, Vegetarian",Philadelphia,39.9495123,-75.1617661,Charlie Was a Sinner,19107,1039,4.0
1040 N 2nd St,JUlsvVAvZvGHWFfkKm0nlg,"Mexican, Tex-Mex, Restaurants, Barbeque",Philadelphia,39.9673004,-75.1403984,El Camino Real,19123,1014,3.5
2031 Walnut St,mtvT7uRey3F395STFRM1Tg,"Food, Restaurants, Beer, Wine & Spirits, Diners, American (New)",Philadelphia,39.950759,-75.1748461,Vernick Food & Drink,19103,997,4.5
1210 Frankford Ave,ELY0HI8GDEx0jkmREVna0A,"German, Restaurants, Nightlife, Food, Bars, Pretzels, Beer Gardens, Pubs",Philadelphia,39.969439,-75.134647,Frankford Hall,19125,981,4.0
1310 Drury St,cOXc8c85Ms6dMEAJazLXHQ,"Bars, Nightlife, Pubs, American (Traditional), Event Planning & Services, Karaoke, Restaurants, Venues & Event Spaces, Irish Pub, Sports Bars, Irish",Philadelphia,39.950168,-75.162607,McGillin's Olde Ale House,19107,979,4.0
2013 Chestnut St,SCjUeZfjafJ88fWWQjRh2w,"Restaurants, Lounges, Bars, Mexican, Nightlife, Tex-Mex, Breakfast & Brunch",Philadelphia,39.9522598,-75.1740323,El Rey,19103,968,3.5
1328 Pine St,sVZb87xjhbCWHQ2UXOGLrA,"Pizza, Italian, Restaurants, Gluten-Free",Philadelphia,39.9453393812,-75.1644544588,Giorgio On Pine,19107,954,4.0
435 Spring Garden St,dG-gZOWzn8iO1Rvv_fbXxA,"Dance Clubs, Bars, Diners, Breakfast & Brunch, Lounges, Restaurants, Nightlife, American (New)",Philadelphia,39.9613271,-75.1460328,Silk City Diner & Lounge,19123,940,4.0
262 S 10th St,TunmRrfZb7bt53T6HJi4UQ,"Sushi Bars, Japanese, Restaurants, Asian Fusion, Tapas/Small Plates",Philadelphia,39.9463986271,-75.157800703,Bleu Sushi,19107,938,4.5
238 N 9th St,_V6hl1oGkTV2KbGeax_HPA,"Restaurants, Noodles, Dim Sum, Hong Kong Style Cafe, Cantonese, Food, Barbeque, Juice Bars & Smoothies, Chinese",Philadelphia,39.9563986,-75.1542873,Sang Kee Peking Duck House,19107,926,4.0
1525 Sansom St,CYSPKiVdoPX3erovujnE9Q,"Active Life, Nightlife, Bars, American (Traditional), Bowling, Restaurants, American (New), Gastropubs",Philadelphia,39.9504170438,-75.1664282754,Harp & Crown,19102,912,4.0
931 N 2nd St,73UjNbSoQjQAOS45rcihFg,"Nightlife, Restaurants, Breakfast & Brunch, Bars, Mexican",Philadelphia,39.9648195,-75.1402322,Cantina Dos Segundos,19123,904,4.0
1111 Locust St,NFzfuIFghE-HnrodHpaT6A,"Cheese Shops, Food, Specialty Food, Sandwiches, Cafes, Restaurants, Pizza, American (New), Beer, Wine & Spirits, Butcher, Modern European, Italian, Bars, Nightlife",Philadelphia,39.9477453,-75.159542,Garces Trading Company,19107,896,4.0
2035 Sansom St,FqOCC8Y9xryaX7sIBJcrxA,"Japanese, Sushi Bars, Restaurants",Philadelphia,39.9515773,-75.174834,Vic Sushi Bar,19103,884,4.0
123 S 18th St,eJaeTZlIdM3HWCq__Ve4Wg,"French, Spanish, Tapas Bars, Cafes, Restaurants, Wine Bars, Modern European, Bars, Nightlife, Italian, Comedy Clubs, Greek, American (New)",Philadelphia,39.9509483,-75.1704197,Tria Cafe Rittenhouse,19103,880,4.5
640 N Broad St,05ev984NYfimRN0UiFrxaA,"Nightlife, Restaurants, Italian, Bars, Wine Bars",Philadelphia,39.965015,-75.161076,Osteria,19130,877,4.0
114 S 20th St,gnpyyeWQ53WlDMJEq-YA_w,"Basque, Tapas Bars, Iberian, Bars, Wine Bars, Restaurants, Lounges, Nightlife, Spanish",Philadelphia,39.9515011,-75.1738449,Tinto,19103,877,4.0
1229 Spruce St,sy7ADvpBA7SfHwbY-Y_5gw,"American (New), Nightlife, Greek, Cocktail Bars, Bars, Mediterranean, Restaurants, Pizza, Tapas Bars, Latin American, Tapas/Small Plates, Lounges",Philadelphia,39.9467941,-75.1622221,Valanni,19107,875,4.0
22 S 3rd St,wB1Tin0OW1JRpaKM-E3ZYA,"Pubs, Food, Breakfast & Brunch, Dance Clubs, Bars, American (New), American (Traditional), Beer, Wine & Spirits, Restaurants, Nightlife",Philadelphia,39.9495443,-75.1459872,National Mechanics,19106,875,4.0
401 S Columbus Blvd,AmI3LIUNwsi4023hOVGu3w,"American (Traditional), Seafood, Nightlife, Event Planning & Services, Cocktail Bars, Wine Bars, Restaurants, Venues & Event Spaces, American (New), Bars",Philadelphia,39.942335482,-75.1413081,Moshulu,19106,874,3.5
1651 E Passyunk Ave,4J06--ty2Ydj1---IsArLw,"Restaurants, Mexican, Breakfast & Brunch, Bars, Fast Food, Nightlife",Philadelphia,39.9288976,-75.1644726699,Cantina Los Caballitos,19148,874,3.5
126 S 16th St,kbXpjBSweedxQ1WrlJ5i7Q,"Taiwanese, Restaurants, Noodles, Szechuan, Chinese",Philadelphia,39.950247,-75.167598,Dan Dan,19102,860,4.0
719 N 2nd St,vXb4OWsjPoiBtmarfexj-g,"Restaurants, American (New), Diners, Breakfast & Brunch",Philadelphia,39.9623633,-75.1407424,Green Eggs Café,19123,852,3.5
56 S 2nd St,OHzX-ZD9qyoeoxR8Z0dlIA,"Restaurants, American (Traditional), Bars, Pubs, Nightlife, Gastropubs",Philadelphia,39.9486423,-75.1441173,Khyber Pass Pub,19106,845,4.0
112 S 13th St,_LOJW0XkOpj4O348GVRDeQ,"Italian, Wine Bars, Bars, Mediterranean, Pizza, Restaurants, Nightlife",Philadelphia,39.9499542,-75.1621423,Zavino,19107,843,4.0
138 S 2nd St,HPqTJ_yF2ZJw87yHWnSzSg,"Pubs, Restaurants, Event Planning & Services, Desserts, Food, Comfort Food, American (Traditional), Nightlife, Bars, Venues & Event Spaces, Italian, American (New)",Philadelphia,39.9471427567,-75.1445095605,City Tavern Restaurant,19106,841,4.0
227 N 34th St,6ewV-e7-39oqYUq3yZuIyw,"Breakfast & Brunch, Restaurants, Vegetarian, American (New), American (Traditional), Comfort Food, Cafes",Philadelphia,39.9598792,-75.1906815,Sabrina's Café,19104,833,4.0
1907 Chestnut St,RnhLCG4N9MPy6ZRzq787Cg,"Local Flavor, Nightlife, Bars, American (New), Restaurants, Breakfast & Brunch, Sports Bars, Pubs",Philadelphia,39.95214,-75.1722162,Devil's Alley Bar & Grille,19103,825,3.5
1228 Chestnut St,-1B9pP_CrRBJYPICE5WbRA,"Asian Fusion, Restaurants, American (New), Thai, Szechuan, Chinese",Philadelphia,39.950352,-75.1615829,Spice 28,19107,822,4.0
255 S 10th St,FHNIvNgh3fS7VZQq2Y3dsA,"Asian Fusion, Tapas/Small Plates, American (New), Restaurants, Vietnamese, Korean, Noodles, Ramen, Japanese",Philadelphia,39.9467949,-75.1577025,Cheu Noodle Bar,19107,818,4.0
1306 Dickinson St,rYqmaOIULRouz_1db07OdQ,"Diners, Restaurants, Breakfast & Brunch, American (New)",Philadelphia,39.931348,-75.166497,Green Eggs Cafe,19147,813,4.0
207 S Sydenham St,oqbhVgliVJH-iRa3AnD-3A,"Cafes, Food, Coffee & Tea, Bakeries, Coffee Roasteries, Restaurants",Philadelphia,39.9493333403,-75.1667326512,Elixr Coffee Roasters,19102,810,4.5
101 S 9th St,trwHwsXOVV-ZmF-MtP98BA,"Cafes, Pizza, American (New), Breakfast & Brunch, Sandwiches, Restaurants",Philadelphia,39.949579,-75.1553831,High Street Philadelphia,19107,807,4.0
"The Piazza At Schmidts, 1050 N Hancock St",J8S7cPPlTgsQnXKVfTyN8g,"American (Traditional), Food, Salad, Burgers, Bars, Nightlife, Restaurants",Philadelphia,39.9665050097,-75.1391493002,PYT,19123,806,3.0
468 W Cheltenham Ave,qsm7SkX60JsajT7Yz248FA,"Coffee & Tea, Food, Japanese, Restaurants, Chicken Wings, Korean, Asian Fusion",Philadelphia,40.0550205,-75.1260334,Café Soho,19126,800,4.0
3636 Sansom St,3gVSrS4kffGGZT8oXHsIcw,"Restaurants, Lounges, Asian Fusion, Nightlife, Sushi Bars, Bars",Philadelphia,39.9539707735,-75.1960369886,Pod,19104,797,3.5
116 S 11th St,V0SHmvYtXqdv8-AsqshV6w,"Nightlife, Bars, American (New), Barbeque, Restaurants",Philadelphia,39.9495395623,-75.158919096,Smokin Bettys,19107,796,3.5
1136 Arch St,44Xh-IjWDSn7XTw1hzO50g,"Sandwiches, Restaurants, Juice Bars & Smoothies, Food, Breakfast & Brunch",Philadelphia,39.9534618209,-75.1593213069,Dutch Eating Place,19107,796,4.5
900 South St,qsAZNQ-6P4I9r7onkBZJ_g,"Barbeque, Restaurants",Philadelphia,39.9425847,-75.1570964,Percy Street Barbecue,19147,794,4.0
237 S 18th St,wbDRmtxaKRpBOjutvV6TEA,"Steakhouses, Restaurants",Philadelphia,39.9487096,-75.1708743,Barclay Prime,19103,789,4.5
"University of Pennsylvania, 3925 Walnut St",csS_UrBujOvjASbX3gLW7w,"Sandwiches, American (Traditional), Burgers, Restaurants, Salad",Philadelphia,39.954086811,-75.2009592271,Bobby's Burger Palace,19104,788,3.5
8500 Essington Ave,6zEWIsb6Lhr3BeoC3gm1lw,"Sandwiches, American (Traditional), Seafood, Restaurants",Philadelphia,39.8774228729,-75.2405207186,Chickie's and Pete's,19153,787,2.5
"50 S 16th St, Fl 37",9gObo5ltOMo6UgsaXaHPWA,"American (New), Lounges, Nightlife, Cocktail Bars, Bars, Restaurants",Philadelphia,39.9516172612,-75.167190457,R2L,19102,787,3.5
901 N 2nd St,WMkiheTT-8kRslImVLWMVw,"Local Flavor, American (Traditional), Restaurants, Burgers, Desserts, Breakfast & Brunch, Food, American (New), Gastropubs, Beer, Wine & Spirits, Nightlife, Bars, Pubs",Philadelphia,39.96414,-75.1405144,Standard Tap,19123,785,4.0
3711 Market St,MMRRS6YhVRx_iN5-JhMRYg,"Restaurants, Chinese, Szechuan",Philadelphia,39.9567105161,-75.1971027811,Han Dynasty,19104,783,4.0
2000 Sansom St,BxfvdHqETU8jWYUjx5OL2A,"Food, Hot Dogs, Burgers, Ice Cream & Frozen Yogurt, Fast Food, American (Traditional), Restaurants",Philadelphia,39.9512256328,-75.1737892628,Shake Shack,19103,777,3.5
1137 Spruce St,Q-prSTdggNlxAEFV88BZOw,"Beer, Wine & Spirits, Wine Bars, Modern European, American (New), Cheese Shops, Specialty Food, Food, Restaurants, Bars, Nightlife",Philadelphia,39.9466238,-75.1609139,Tria Cafe Wash West,19107,770,4.5
2600 Benjamin Franklin Pkwy,Qw7tz-UkPrpXaVidWuab4Q,"Art Museums, Jazz & Blues, Arts & Crafts, American (New), Shopping, Museums, Nightlife, Art Galleries, Restaurants, Arts & Entertainment",Philadelphia,39.965573,-75.180969,Philadelphia Museum of Art,19130,767,4.5
718 South St,8j3blTZChklt3j89jxx0fw,"Nightlife, Bars, Restaurants, German",Philadelphia,39.9423058586,-75.1546984195,Brauhaus Schmitz,19147,764,4.0
412 S 13th St,fivoAD6x6jXJRiEZwhpcEQ,"Wine Bars, Tapas/Small Plates, Nightlife, Restaurants, Italian, Cocktail Bars, Pizza, Bars",Philadelphia,39.9448680216,-75.1632501141,Amis Trattoria,19147,762,4.0
1405 Locust St,AaTpjyw-EiODgi3tR4Xr-g,"Restaurants, Greek, Mediterranean, Seafood",Philadelphia,39.9483920508,-75.1653502258,Estia,19102,761,4.0
500 Spring Garden St,IvAa7PvfOYl0xRML5W3ebg,"American (Traditional), Nightlife, Food, Bars, Restaurants, Beer, Wine & Spirits, American (New), Pubs, Local Flavor, Breweries, Event Planning & Services, Venues & Event Spaces",Philadelphia,39.9609706195,-75.146908,Yards Brewing Company,19123,755,4.0
1602 Locust St,kxKai8GE5oDMPevV7oxvbA,"Restaurants, Bars, Nightlife, Mexican",Philadelphia,39.9485127,-75.1680322,Tequilas Restaurant,19103,753,4.0
1714 Walnut St,fN12ywQpLXQ93bpwe1N_Ww,"Breakfast & Brunch, Italian, Restaurants, Pizza",Philadelphia,39.9497512,-75.1699969,Pietro's Coal Oven Pizzeria,19103,751,3.5
211 N 11th St,eoN0GAIRV0WmwUm7FmzKgQ,"Japanese, Sushi Bars, Karaoke, Nightlife, Restaurants",Philadelphia,39.9559497,-75.1571603,Yakitori Boy,19107,748,3.5
"3925 Walnut St, Fl 2, Radian Balcony",LwX2vbzttWYAdoBoVtfvRg,"Pubs, Gastropubs, Venues & Event Spaces, Bars, Nightlife, Event Planning & Services, American (New), Restaurants",Philadelphia,39.9543092612,-75.2013524735,City Tap House,19104,742,3.5
735 S 10th St,-DGsnMlRrR_tv8avrpQLQw,"Breakfast & Brunch, Restaurants, Diners",Philadelphia,39.9408607,-75.1589045,Sam's Morning Glory Diner,19147,741,4.0
126 S 19th St,E_h2yNoagLK-3ODYwMPErw,"American (New), Breakfast & Brunch, Vegetarian, Vegan, Bars, Wine Bars, Restaurants, Nightlife",Philadelphia,39.9508935069,-75.1722220268,V Street,19103,739,4.5
1100 Washington Ave,8kUh6TROemLfbVR_ewVVLg,"Restaurants, Seafood, Vietnamese",Philadelphia,39.9364886,-75.1622139,Nam Phuong,19147,738,4.0
133 S 18th St,617w8MQE3z1szmLvs0WfCw,"Restaurants, Vegetarian, Latin American, Vegan",Philadelphia,39.9506592976,-75.1705476767,Bar Bombón,19103,734,4.0
